"species","mean_longitude","mean_latitude","distance_to_europe_center"
"Acmella ciliata",-63.4022552667857,-8.76506574137967,10931.4022693468
"Acokanthera oblongifolia",29.5939205229069,-25.6958049449243,9449.03511725185
"Aconitum barbatum",106.777481071326,50.5939428596936,4810.45022790076
"Aconitum carmichaelii",112.559271574174,33.5951499866793,6548.28115231342
"Aconitum fischeri",136.443630413511,50.1181615096514,6241.40962942329
"Aconitum orientale",41.2733422374216,41.4835691037231,2204.58125031968
"Aconitum volubile",108.681549098447,52.9987706267284,4725.26279979078
"Aconitum yuparense",138.214120033694,37.9061166876332,7454.27427897015
"Acorus calamus",22.376563547784,38.7309986577566,2353.0262627293
"Acorus gramineus",108.083146803212,28.0192650855448,6802.92990294788
"Actaea cordifolia",-85.4519013943621,37.3070352736599,7675.72376750855
"Actaea dahurica",121.095344372976,44.8748277912548,6003.0649342141
"Actaea japonica",117.336319682202,31.7016843825928,6979.47152034493
"Actaea pachypoda",-81.7578350965476,40.2162379374501,7234.0003839406
"Actaea racemosa",-81.4894138031177,38.8093431425856,7354.89778340825
"Actaea rubra",-93.9939100976725,46.7427556292089,7106.6747750315
"Actaea simplex",127.59047051245,46.2263701915691,6197.89313548113
"Actinidia chinensis",112.389645532724,29.5610608440129,6903.01313939774
"Actinidia chinensis var. deliciosa",109.53258645713,31.4963720370468,6569.40121383637
"Adelocaryum coelestinum",78.3802704532259,21.9755368025494,5720.711924593
"Adenocarpus foliolosus",-15.6754686626662,28.3400533609037,4792.15433787276
"Adenocarpus viscosus",-15.6754686626662,28.3400533609037,4792.15433787276
"Aegilops crassa",54.5981560458293,37.970539252151,3044.51421134912
"Aegilops kotschyi",42.6893906015344,32.1122675446206,3235.12067656648
"Aegilops longissima",34.7611288657405,30.9190641743043,3220.77616962998
"Aegopodium tribracteolatum",43.4716125096803,36.1864782275279,2822.66858779061
"Aeonium arboreum",-10.9774231856714,30.1437931728328,4386.96900963768
"Aeonium arboreum subsp. arboreum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium arboreum subsp. holochrysum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium balsamiferum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium canariense subsp. christii",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium ciliatum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium cuneatum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium decorum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium glandulosum",-16.9468844916308,32.7675103174201,4444.04826794806
"Aeonium glutinosum",-16.9468844916308,32.7675103174201,4444.04826794806
"Aeonium haworthii",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium hierrense",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium percarneum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium spathulatum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium tabulaeforme",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium undulatum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aeonium urbicum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aesculus chinensis",108.085668386166,28.2571924201583,6781.42987208449
"Aesculus flava",-82.075802220745,37.5175463411,7504.13336083556
"Aesculus glabra",-86.3595975332326,39.7022191652562,7484.83611030876
"Aesculus indica",80.2088852705239,29.7268557724889,5088.28749566743
"Aesculus parviflora",-85.1400876001945,32.748312674079,8101.86447846221
"Aesculus pavia",-87.3002408857046,34.8610833473273,7993.86586242526
"Aesculus turbinata",138.214120033694,37.9061166876332,7454.27427897015
"Aesculus × bushii",-92.4386831448467,34.6694225037744,8232.88031034469
"Aesculus × hybrida",-78.7430713509232,38.4115194466394,7265.9593591777
"Aesculus × neglecta",-82.6214633301683,34.7276898592035,7795.48018489563
"Aethionema grandiflorum",44.7435225004023,36.4875431725362,2828.13033997607
"Agapanthus africanus",22.5448099108385,-30.9647161334435,10045.724231888
"Agapetes odontocera var. odontocera",94.0933214126688,24.8570767583927,6302.90861831899
"Agastache foeniculum",-100.548697616016,48.3793490549617,7171.36292792944
"Agastache nepetoides",-87.581409626037,40.3955166454543,7470.01892210955
"Agastache pringlei",-105.060141143013,31.5821779165978,9032.27873343761
"Agastache rugosa",128.727000523434,42.9250148964987,6546.50688719522
"Agave americana",-103.04087562273,25.4078330368627,9591.24593671985
"Agave americana var. franzosini",-38.9845497388303,22.6330853499193,6582.2644598217
"Agave amica",-96.6204294663701,18.8481759247287,9992.54020838529
"Agave attenuata",-99.6587725043691,19.0058786120066,10107.3220931451
"Agave fourcroydes",-93.8769639974104,17.7069299210602,9984.25691835114
"Agave salmiana",-99.7094424727266,20.8405319283133,9923.31630283694
"Ageratina adenophora",-102.050929757974,22.3883193859953,9861.20425853278
"Ageratina altissima",-84.2204333643954,40.7524317687439,7291.92585537271
"Ageratina aromatica",-80.101924729198,37.343395736745,7429.81960841788
"Ageratum houstonianum",-93.7671645719288,18.1536412734089,9934.61732048676
"Agrimonia parviflora",-86.6273812900187,38.9123817663362,7572.36882263879
"Agrimonia repens",39.1944172040054,35.7095695954001,2768.73468591908
"Agrostis exarata",-91.7102931927236,44.1470015010431,7273.65083576851
"Agrostis scabra",-59.4245462766885,43.5810636403157,5848.7285786024
"Aichryson bollei",-15.6754686626662,28.3400533609037,4792.15433787276
"Aichryson dichotomum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aichryson divaricatum",-16.9468844916308,32.7675103174201,4444.04826794806
"Aichryson laxum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aichryson parlatorei",-15.6754686626662,28.3400533609037,4792.15433787276
"Aichryson punctatum",-15.6754686626662,28.3400533609037,4792.15433787276
"Aichryson tortuosum",-15.6754686626662,28.3400533609037,4792.15433787276
"Ailanthus altissima",107.932540157196,35.2082384818836,6150.15297653712
"Aizoon canariense",25.4949953554873,13.164442170496,5154.04725809886
"Ajania pacifica",138.214120033694,37.9061166876332,7454.27427897015
"Akebia quinata",118.855044330193,34.2014269921382,6834.15780004347
"Akebia trifoliata",117.554540432918,31.2300720127369,7034.25965815407
"Akhania canescens",50.5836149586517,36.9246285109394,2983.91059483945
"Albizia julibrissin",95.007628864022,29.8705369008863,5897.71909261434
"Albizia lebbeck",85.3825974267654,23.1435976013844,5980.73511327274
"Albizia procera",110.452670425418,8.88355605057385,8722.61997722108
"Albuca bracteata",26.6323613676787,-29.8436154224421,9908.89331803627
"Alcea acaulis",34.45189879433,32.7574449330508,3014.88758647542
"Alcea apterocarpa",35.9933920324792,33.7623905538828,2924.34887200772
"Alcea calvertii",45.0721531383705,37.6106933937788,2721.3225560306
"Alcea digitata",41.1063794796054,34.5236637894882,2938.6789772482
"Alcea dissecta",41.1063794796054,34.5236637894882,2938.6789772482
"Alcea excubita",44.8302533151529,35.8943592319219,2892.77438609471
"Alcea flavovirens",45.0721531383705,37.6106933937788,2721.3225560306
"Alcea hohenackeri",42.950527440899,34.9722573550368,2936.89077755816
"Alcea nudiflora",71.2407869451,40.9314018061356,3606.69845675442
"Alcea rosea",35.441648478726,39.0283978298971,2339.90609916532
"Alcea rufescens",40.3250094779991,33.4879958930477,3032.49346169464
"Alcea striata",37.698478048553,31.84689911983,3160.33952297928
"Alcea tabrisiana",45.0721531383705,37.6106933937788,2721.3225560306
"Alchemilla barbatiflora",40.4988006317659,40.0358797736949,2335.95689572574
"Alchemilla holocycla",35.441648478726,39.0283978298971,2339.90609916532
"Alchemilla pseudocartalinica",47.7053094841967,36.7766638604337,2894.154377856
"Alchemilla sericata",44.5097212159612,39.302756986279,2528.47509012417
"Alfredia cernua",80.8596477952848,55.4435999353312,3104.45037421291
"Alkanna orientalis",40.2923998234676,31.8552977253831,3208.154908152
"Alkanna tubulosa",31.113132309451,38.4183286646621,2360.14079851196
"Allagopappus canariensis",-15.6754686626662,28.3400533609037,4792.15433787276
"Allium akaka",54.2188581515797,32.7603206339466,3543.38329882583
"Allium ascalonicum",33.7152044704193,30.4077111334427,3266.14371139497
"Allium cepa",59.3459679181545,39.1766254504638,3147.18626193234
"Allium curtum",34.45189879433,32.7574449330508,3014.88758647542
"Allium cyaneum",102.43615745802,35.6019346729292,5809.4169520538
"Allium fistulosum",107.054413348755,33.0937817324585,6288.54190943413
"Allium orientale",32.1010083581492,31.9589851577785,3081.41143293963
"Allium phanerantherum",41.6366297009839,34.2425495333522,2981.40213200191
"Allium rothii",36.1773065503969,32.0070547952114,3119.36639138314
"Allium sativum",64.9319372208415,40.3723131483281,3318.79376986736
"Allium senescens",110.104357441751,51.5437230362088,4906.6449265952
"Allium stamineum",39.8677164339805,33.7738366620917,2991.88285024803
"Alnus hirsuta",130.417024404439,51.555536845561,5858.05646190287
"Alnus incana subsp. rugosa",-79.1644700247875,45.8364510587566,6595.33067631047
"Alnus incana subsp. tenuifolia",-117.464572235051,47.7858153241022,7703.22662491426
"Alnus japonica",129.503092091776,39.4441575410782,6900.56552884427
"Alnus maritima",-83.3209470412088,36.5829646170155,7649.88000518577
"Alnus orientalis",39.5289934490759,34.6277013423844,2892.55076377845
"Alnus pendula",138.214120033694,37.9061166876332,7454.27427897015
"Alnus rubra",-124.76908873818,50.5657399802178,7554.3107541564
"Alnus subcordata",49.8874054681928,36.9018411757196,2959.90106834177
"Aloe arborescens",29.2437114839081,-23.5616505630146,9212.27174145067
"Aloe ferox",25.881553224261,-29.724293243848,9896.92904831498
"Aloe glauca",22.5448099108385,-30.9647161334435,10045.724231888
"Aloe maculata",27.2857942837241,-28.6368734189128,9774.44038878191
"Aloe vera",56.1246348278326,20.6441705025024,4856.95508670683
"Aloiampelos ciliaris",22.5448099108385,-30.9647161334435,10045.724231888
"Alonsoa acutifolia",-74.3558058106132,-9.24805436833457,11595.6203689292
"Alopecurus lanatus",35.441648478726,39.0283978298971,2339.90609916532
"Aloysia citrodora",-63.146981825016,-23.151090241968,12271.4988715584
"Alpinia zerumbet",109.208601363494,21.2311117644246,7491.01250627201
"Alyogyne cuneiformis",122.128257029599,-25.7630820094268,12655.6772810507
"Alyssum baumgartnerianum",42.950527440899,34.9722573550368,2936.89077755816
"Alyssum lepidotum",35.441648478726,39.0283978298971,2339.90609916532
"Alyssum szovitsianum",53.4874668549552,35.9354239308343,3197.12553840241
"Alyssum trichocarpum",35.441648478726,39.0283978298971,2339.90609916532
"Amaranthus albus",-95.4443525542955,34.0684939646769,8415.60350648415
"Amaranthus blitoides",-94.2233710729022,40.6360957981221,7715.08535625492
"Amaranthus blitum",-58.5773289969484,-21.8114742391557,11894.0440642032
"Amaranthus blitum subsp. emarginatus",-60.8427357089284,-20.4116561600553,11887.6862075852
"Amaranthus blitum subsp. oleraceus",-57.3193832093143,-27.950515180991,12399.1991531263
"Amaranthus caudatus",-70.955249408257,-14.217676916257,11874.1300087669
"Amaranthus cruentus",-92.1440878028469,16.6317812983328,10011.5025024402
"Amaranthus deflexus",-67.227056228938,-30.4434448940729,13168.1164465823
"Amaranthus hybridus",-80.264983736014,17.5719233858889,9335.14837452179
"Amaranthus hybridus subsp. hybridus",-83.7369369204866,25.9541934393347,8695.01869161511
"Amaranthus powellii",-106.254353130728,30.5529932191838,9180.40921510612
"Amaranthus retroflexus",-97.8763026562557,20.3789796526853,9892.64089470987
"Amaranthus spinosus",-75.5155267159508,6.84539634568433,10118.7401312283
"Amaranthus tricolor",94.9480096477668,8.15568042734058,7928.47655042971
"Amaranthus viridis",-70.507660036839,3.5451553232231,10158.8485412534
"Amaryllis belladonna",22.5448099108385,-30.9647161334435,10045.724231888
"Amberboa moschata",45.0721531383705,37.6106933937788,2721.3225560306
"Ambrosia artemisiifolia",-91.9326755660455,42.203391819716,7471.76198420831
"Ambrosia confertiflora",-101.131887495436,30.4623055818037,9002.20594794477
"Ambrosia psilostachya",-94.0032985752655,39.8930126475023,7779.9010573592
"Ambrosia trifida",-90.2011983308301,40.3532171720624,7582.77581927201
"Amelanchier alnifolia",-108.96037185594,46.4109668082916,7628.25864546913
"Amelanchier asiatica",122.399283337249,35.5915299156809,6894.67872098267
"Amelanchier laevis",-78.0435022700921,41.843951759923,6913.47141908907
"Amelanchier stolonifera",-78.165594657742,42.4410475487329,6863.74760239364
"Amelanchier × lamarckii",-74.1750873016094,43.5545070625326,6577.75063804525
"Ammobium alatum",143.678176639826,-32.8103927845962,14505.0039354605
"Amorpha fruticosa",-98.8493375771907,38.5756769106839,8095.47532785545
"Amorpha glabra",-83.3816120952588,34.1668854020148,7884.34980016159
"Ampelopsis cordata",-89.9613783814611,34.0802606238362,8186.03725074723
"Ampelopsis glandulosa",116.180668637607,31.9294058536245,6896.08675050722
"Ampelopsis orientalis",36.9128105127592,37.0053081386959,2584.64488598099
"Amsinckia menziesii",-93.6889471282976,42.2781735152593,7532.69357358904
"Amsinckia menziesii var. menziesii",-88.8519064466311,39.7681952204722,7583.92629786906
"Anabasis prostrata",-1.82512598571423,30.1860978507836,3965.59993963816
"Ananas comosus",-62.459578127105,-6.91042753437144,10701.985945056
"Anaphalis triplinervis",83.8765984487689,29.3709859954435,5320.92038274442
"Anastatica hierochuntica",27.1922687933484,25.9155906687666,3738.3956130899
"Anchusa capensis",24.5585564953386,-27.3621346359628,9638.6732759249
"Anchusa strigosa",38.3124591388648,34.8664083885939,2842.51139422746
"Andropogon gayanus",13.5973024291782,0.902604384377252,6627.57687346155
"Andryala glandulosa",-16.9468844916308,32.7675103174201,4444.04826794806
"Andryala pinnatifida",-10.9774231856714,30.1437931728328,4386.96900963768
"Andryala pinnatifida subsp. ducellieri",-6.27937770867659,31.9475329847619,3989.98862149302
"Andryala pinnatifida subsp. mogadorensis",-6.27937770867659,31.9475329847619,3989.98862149302
"Anemone virginiana",-85.796308823255,42.0360052499866,7237.24395095032
"Anethum graveolens",29.3558040551263,28.0832498832712,3498.47263504859
"Angelica atropurpurea",-76.9569840488026,43.2107371816858,6737.65480632333
"Angelica nitida",103.385560175866,34.007571392815,6002.42459797706
"Angelica ursina",148.822322871766,48.7444093717067,6854.10182312946
"Anisodontea fruticosa",22.5448099108385,-30.9647161334435,10045.724231888
"Anisodus stramoniifolius",89.2468793228094,29.9760177486681,5564.10796039502
"Annona cherimola",-72.6228254524142,-5.89117099778812,11178.7375035317
"Annona muricata",-75.3551962844861,6.26903842521519,10165.4328193491
"Anoda cristata",-81.9126601323047,4.79560614535185,10661.3251178422
"Anthemis bornmuelleri",35.4378422445372,32.7662539849008,3025.98306858644
"Anthemis kotschyana",42.950527440899,34.9722573550368,2936.89077755816
"Anthemis rascheyana",40.7603659968655,30.902240646634,3321.05462531669
"Anthemis retusa",31.6426418360902,28.0832417601647,3507.20432179814
"Anthriscus lamprocarpa",36.735553255614,35.1114448413353,2788.13995726893
"Anthriscus sylvestris subsp. mollis",1.96988692737399,31.5111674312083,3678.46939235101
"Anthurium andraeanum",-75.7354927977466,1.23325991174608,10670.4037478541
"Antigonon leptopus",-94.5777601715445,18.6188890476184,9924.77757425774
"Apium australe",-45.6654044048285,-39.6615008001253,12899.5205713512
"Apium prostratum",32.4249342628069,-32.3885905032195,10197.4112131466
"Apocissus antarctica",145.803158365266,-27.4987240415117,14146.456761014
"Apteranthes burchardii",-10.9774231856714,30.1437931728328,4386.96900963768
"Aquilegia buergeriana",138.214120033694,37.9061166876332,7454.27427897015
"Aquilegia canadensis",-85.6119338946154,40.4543201016966,7380.5733346594
"Aquilegia chrysantha",-106.981430495019,33.328756538156,8918.72040799764
"Aquilegia coerulea var. coerulea",-106.393097578168,38.8407452949569,8330.56110977682
"Aquilegia ecalcarata",104.44495332733,34.3852043351449,6028.50311978434
"Aquilegia flabellata",126.116121542573,49.7671799162418,5820.94638885987
"Aquilegia formosa",-118.793933651489,45.4542213162895,7980.97740952473
"Aquilegia fragrans",70.51883970458,32.2637683585513,4342.72076458941
"Aquilegia glandulosa",96.8311658037409,55.1955171305784,3969.61607482172
"Aquilegia lactiflora",72.4098898015466,39.220872734485,3816.59590756674
"Aquilegia longissima",-106.387947972279,30.1112352858055,9230.69574711189
"Aquilegia oxysepala",125.737083415912,45.7090188376999,6155.98683330105
"Aquilegia sibirica",94.8835482271903,55.4127960638804,3854.72324194432
"Aquilegia skinneri",-98.7362986253851,20.8835790658415,9878.16745280019
"Aquilegia viridiflora",113.560404765451,46.0350350644472,5524.03487091737
"Arabidopsis arenicola",-78.7656495257146,60.1637619637016,5312.22978359933
"Arabis aubrietioides",35.441648478726,39.0283978298971,2339.90609916532
"Arabis mollis subsp. graellsiiformis",35.441648478726,39.0283978298971,2339.90609916532
"Arabis nordmanniana",44.1891891167694,42.7111547406361,2169.85350874056
"Arabis stelleri",140.150845543951,44.6628136226377,6900.84409271446
"Arachis hypogaea",-64.6645104035505,-16.7831494463101,11760.4820661232
"Aralia chinensis",109.878307357422,18.7666123926233,7758.54153436937
"Aralia elata",125.910706135382,39.25852121852,6740.77664355207
"Araucaria columnaris",165.674829690832,-21.29814790962,14602.4211700175
"Araucaria heterophylla",166.107222937898,-29.5663445856491,15424.6791472862
"Araujia sericifera",-54.6933313911873,-27.2909128123039,12197.6001895507
"Arbutus canariensis",-15.6754686626662,28.3400533609037,4792.15433787276
"Arbutus × andrachnoides",34.330548902842,37.0361246919332,2542.80109358327
"Archontophoenix alexandrae",144.591067413835,-22.7446864866214,13639.9960024971
"Archontophoenix cunninghamiana",145.803158365266,-27.4987240415117,14146.456761014
"Arctium palladinii",44.5097212159612,39.302756986279,2528.47509012417
"Arctotheca calendula",27.0911431243255,-29.4738486107462,9867.37637669417
"Arctotis perfoliata",22.5448099108385,-30.9647161334435,10045.724231888
"Arenga pinnata",103.986713305315,14.0346448919189,7870.12329793682
"Argemone mexicana",-89.1223761070649,16.6466151482569,9866.79151719653
"Argentina lineata",93.9578500140757,25.7783463124676,6210.57119106148
"Argyranthemum adauctum",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum adauctum subsp. canariense",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum broussonetii",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum callichrysum",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum callichrysum subsp. gomerensis",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum coronopifolium",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum filifolium",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum foeniculaceum",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum frutescens",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum frutescens subsp. pumilum",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum gracile",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyranthemum haematomma",-16.9468844916308,32.7675103174201,4444.04826794806
"Argyranthemum pinnatifidum",-16.9468844916308,32.7675103174201,4444.04826794806
"Argyranthemum pinnatifidum subsp. succulentum",-16.9468844916308,32.7675103174201,4444.04826794806
"Argyranthemum thalassophilum",-15.862686475118,30.1429605184952,4631.45859464181
"Argyranthemum webbii",-15.6754686626662,28.3400533609037,4792.15433787276
"Argyrocytisus battandieri",-6.27937770867659,31.9475329847619,3989.98862149302
"Arisaema triphyllum",-83.2505941796655,40.5930475932339,7264.62364904432
"Aristolochia auricularia",35.441648478726,39.0283978298971,2339.90609916532
"Aristolochia billardieri",36.735553255614,35.1114448413353,2788.13995726893
"Aristolochia bottae",42.2898502149542,35.376018230709,2876.70104425626
"Aristolochia iberica",41.2733422374216,41.4835691037231,2204.58125031968
"Aristolochia incisa",31.113132309451,38.4183286646621,2360.14079851196
"Aristolochia maurorum",35.8641764628644,34.5752813229724,2833.4249049096
"Aristolochia paecilantha",38.4910725883349,34.6131067582036,2873.39308568604
"Aristolochia pontica",39.7938579367747,38.3513259982948,2497.95590443399
"Armeria maderensis",-16.9468844916308,32.7675103174201,4444.04826794806
"Aronia melanocarpa",-79.0060641756478,41.015971737888,7034.46192529902
"Aronia × prunifolia",-78.492231113622,41.1126245462301,7001.94294992803
"Artemisia argentea",-16.9468844916308,32.7675103174201,4444.04826794806
"Artemisia argyi",127.488337115329,44.3027121671959,6363.92563761274
"Artemisia biennis",-118.187475993309,47.3477664421593,7766.10327322743
"Artemisia cina",61.546207743039,41.0092658897215,3089.25171991148
"Artemisia fragrans",41.2733422374216,41.4835691037231,2204.58125031968
"Artemisia incana",45.0721531383705,37.6106933937788,2721.3225560306
"Artemisia judaica",26.2113244299607,26.105284158532,3719.76696976506
"Artemisia ludoviciana",-92.5807867632445,38.4889275366438,7861.88324334044
"Artemisia mendozana var. mendozana",-66.407156904903,-29.3851317046782,13026.6020291625
"Artemisia monosperma",39.795113794198,27.5493662981012,3665.68487186003
"Artemisia montana",135.136145135787,43.2758200336507,6811.32605332356
"Artemisia princeps",121.295992118656,34.1781378629101,6965.54827655973
"Artemisia ramosa",-15.6754686626662,28.3400533609037,4792.15433787276
"Artemisia schmidtiana",142.312838664827,47.7009226913015,6704.19933432615
